Title,Platforms,Link
Aliens: Dark Descent,"PS4, PS5",https://www.pushsquare.comgames/ps5/aliens_dark_descent
It Takes Two,"PS4, PS5",https://www.pushsquare.comgames/ps5/it_takes_two
Temtem,PS5,https://www.pushsquare.comgames/ps5/temtem
ARK: Survival Ascended,PS5,https://www.pushsquare.comgames/ps5/ark_survival_ascended
Balatro,"PS4, PS5",https://www.pushsquare.comgames/ps5/balatro
"Warhammer 40,000: Boltgun","PS4, PS5",https://www.pushsquare.comgames/ps5/warhammer_40000_boltgun
11-11: Memories Retold,PS4,https://www.pushsquare.comgames/ps4/11-11_memories_retold
A Hat in Time,PS4,https://www.pushsquare.comgames/ps4/a_hat_in_time
A Space for the Unbound,"PS4, PS5",https://www.pushsquare.comgames/ps5/a_space_for_the_unbound
Ace Combat 7: Skies Unknown,PS4,https://www.pushsquare.comgames/ps4/ace_combat_7_skies_unknown
Adventure Time: Pirates of the Enchiridion,PS4,https://www.pushsquare.comgames/ps4/adventure_time_pirates_of_the_enchiridion
After Us,PS5,https://www.pushsquare.comgames/ps5/after_us
Age of Wonders: Planetfall,PS4,https://www.pushsquare.comgames/ps4/age_of_wonders_planetfall
Alex Kidd in Miracle World DX,"PS4, PS5",https://www.pushsquare.comgames/ps5/alex_kidd_in_miracle_world_dx
Alienation,PS4,https://www.pushsquare.comgames/ps4/alienation
Alternate Jake Hunter: Daedalus The Awakening of Golden Jazz,PS4,https://www.pushsquare.comgames/ps4/alternate_jake_hunter_daedalus_the_awakening_of_golden_jazz
Anno 1800 Console Edition,PS5,https://www.pushsquare.comgames/ps5/anno_1800_console_edition
ANNO: Mutationem,"PS4, PS5",https://www.pushsquare.comgames/ps5/anno_mutationem
Anodyne,PS4,https://www.pushsquare.comgames/ps4/anodyne
AO Tennis 2,PS4,https://www.pushsquare.comgames/ps4/ao_tennis_2
Aragami,PS4,https://www.pushsquare.comgames/ps4/aragami
Arcade Paradise,"PS4, PS5",https://www.pushsquare.comgames/ps5/arcade_paradise
Assassin's Creed Chronicles: China,PS4,https://www.pushsquare.comgames/ps4/assassins_creed_chronicles_china
Assassin's Creed Chronicles: India,PS4,https://www.pushsquare.comgames/ps4/assassins_creed_chronicles_india
Assassin's Creed Chronicles: Russia,PS4,https://www.pushsquare.comgames/ps4/assassins_creed_chronicles_russia
Assassin's Creed III Remastered,PS4,https://www.pushsquare.comgames/ps4/assassins_creed_iii_remastered
Assassin's Creed IV: Black Flag,PS4,https://www.pushsquare.comgames/ps4/assassins_creed_iv_black_flag
Assassin's Creed Odyssey,PS4,https://www.pushsquare.comgames/ps4/assassins_creed_odyssey
Assassin's Creed Origins,PS4,https://www.pushsquare.comgames/ps4/assassins_creed_origins
Assassin's Creed Rogue Remastered,PS4,https://www.pushsquare.comgames/ps4/assassins_creed_rogue_remastered
Assassin's Creed Syndicate,PS4,https://www.pushsquare.comgames/ps4/assassins_creed_syndicate
Assassin's Creed Unity,PS4,https://www.pushsquare.comgames/ps4/assassins_creed_unity
Assassin's Creed Valhalla,"PS4, PS5",https://www.pushsquare.comgames/ps5/assassins_creed_valhalla
Assassin's Creed: Freedom Cry,PS4,https://www.pushsquare.comgames/ps4/assassins_creed_freedom_cry
Assassin's Creed: The Ezio Collection,PS4,https://www.pushsquare.comgames/ps4/assassins_creed_the_ezio_collection
Assetto Corsa Competizione,"PS4, PS5",https://www.pushsquare.comgames/ps5/assetto_corsa_competizione
Atlas Fallen,PS5,https://www.pushsquare.comgames/ps5/atlas_fallen
AVICII: Invector,PS4,https://www.pushsquare.comgames/ps4/avicii_invector
Back 4 Blood,"PS4, PS5",https://www.pushsquare.comgames/ps5/back_4_blood
Bad North,PS4,https://www.pushsquare.comgames/ps4/bad_north
Bang-On Balls: Chronicles,"PS4, PS5",https://www.pushsquare.comgames/ps5/bang-on_balls_chronicles
Batman: Arkham Knight,PS4,https://www.pushsquare.comgames/ps4/batman_arkham_knight
Battle Chasers: Nightwar,PS4,https://www.pushsquare.comgames/ps4/battle_chasers_nightwar
Battlefield 1,PS4,https://www.pushsquare.comgames/ps4/battlefield_1
Bee Simulator,PS4,https://www.pushsquare.comgames/ps4/bee_simulator
Ben 10,PS4,https://www.pushsquare.comgames/ps4/ben_10
Ben 10: Power Trip,"PS4, PS5",https://www.pushsquare.comgames/ps5/ben_10_power_trip
Biped,PS4,https://www.pushsquare.comgames/ps4/biped
Blood Bowl 3,"PS4, PS5",https://www.pushsquare.comgames/ps5/blood_bowl_3
Bloodborne,PS4,https://www.pushsquare.comgames/ps4/bloodborne
Bloodstained: Ritual of the Night,PS4,https://www.pushsquare.comgames/ps4/bloodstained_ritual_of_the_night
Blue Prince,PS5,https://www.pushsquare.comgames/ps5/blue_prince
Bomber Crew,PS4,https://www.pushsquare.comgames/ps4/bomber_crew
Bound,PS4,https://www.pushsquare.comgames/ps4/bound
Brawlout,PS4,https://www.pushsquare.comgames/ps4/brawlout
Bubsy: The Woolies Strike Back,PS4,https://www.pushsquare.comgames/ps4/bubsy_the_woolies_strike_back
Bugsnax,"PS4, PS5",https://www.pushsquare.comgames/ps5/bugsnax
Bus Simulator 21,PS4,https://www.pushsquare.comgames/ps4/bus_simulator_21
Bus Simulator 21: Next Stop,PS5,https://www.pushsquare.comgames/ps5/bus_simulator_21_next_stop
Call of Cthulhu,PS4,https://www.pushsquare.comgames/ps4/call_of_cthulhu
Call of the Sea,"PS4, PS5",https://www.pushsquare.comgames/ps5/call_of_the_sea
Captain Tsubasa: Rise of New Champions,PS4,https://www.pushsquare.comgames/ps4/captain_tsubasa_rise_of_new_champions
Car Mechanic Simulator,PS4,https://www.pushsquare.comgames/ps4/car_mechanic_simulator
Carto,PS4,https://www.pushsquare.comgames/ps4/carto
Cartoon Network: Battle Crashers,PS4,https://www.pushsquare.comgames/ps4/cartoon_network_battle_crashers
Cat Quest,PS4,https://www.pushsquare.comgames/ps4/cat_quest
Cat Quest II,PS4,https://www.pushsquare.comgames/ps4/cat_quest_ii
Celeste,PS4,https://www.pushsquare.comgames/ps4/celeste
Chernobylite,"PS4, PS5",https://www.pushsquare.comgames/ps5/chernobylite
Chess Ultra,PS4,https://www.pushsquare.comgames/ps4/chess_ultra
Child of Light,PS4,https://www.pushsquare.comgames/ps4/child_of_light
Children of Morta,PS4,https://www.pushsquare.comgames/ps4/children_of_morta
Chivalry 2,"PS4, PS5",https://www.pushsquare.comgames/ps5/chivalry_2
Circus Electrique,"PS4, PS5",https://www.pushsquare.comgames/ps5/circus_electrique
Cities: Skylines - PlayStation 4 Edition,PS4,https://www.pushsquare.comgames/ps4/cities_skylines_-_playstation_4_edition
Citizen Sleeper,"PS4, PS5",https://www.pushsquare.comgames/ps5/citizen_sleeper
Clash: Artifacts of Chaos,"PS4, PS5",https://www.pushsquare.comgames/ps5/clash_artifacts_of_chaos
Coffee Talk,"PS4, PS5",https://www.pushsquare.comgames/ps5/coffee_talk
Coffee Talk Episode 2: Hibiscus & Butterfly,"PS4, PS5",https://www.pushsquare.comgames/ps5/coffee_talk_episode_2_hibiscus_and_butterfly
Conan Exiles,PS4,https://www.pushsquare.comgames/ps4/conan_exiles
Concrete Genie,PS4,https://www.pushsquare.comgames/ps4/concrete_genie
Construction Simulator,"PS4, PS5",https://www.pushsquare.comgames/ps5/construction_simulator
Contra: Rogue Corps,PS4,https://www.pushsquare.comgames/ps4/contra_rogue_corps
Control: Ultimate Edition,"PS4, PS5",https://www.pushsquare.comgames/ps5/control_ultimate_edition
Cricket 24: Official Game of the Ashes,"PS4, PS5",https://www.pushsquare.comgames/ps5/cricket_24_official_game_of_the_ashes
Crime Boss: Rockay City,PS5,https://www.pushsquare.comgames/ps5/crime_boss_rockay_city
Cris Tales,"PS4, PS5",https://www.pushsquare.comgames/ps5/cris_tales
Crisis Core: Final Fantasy VII Reunion,"PS4, PS5",https://www.pushsquare.comgames/ps5/crisis_core_final_fantasy_vii_reunion
Crusader Kings III: Console Edition,PS5,https://www.pushsquare.comgames/ps5/crusader_kings_iii_console_edition
Cult of the Lamb,"PS4, PS5",https://www.pushsquare.comgames/ps5/cult_of_the_lamb
Cursed to Golf,"PS4, PS5",https://www.pushsquare.comgames/ps5/cursed_to_golf
Dark Rose Valkyrie,PS4,https://www.pushsquare.comgames/ps4/dark_rose_valkyrie
Dave the Diver,"PS4, PS5",https://www.pushsquare.comgames/ps5/dave_the_diver
Days Gone,PS4,https://www.pushsquare.comgames/ps4/days_gone
Dead by Daylight,"PS4, PS5",https://www.pushsquare.comgames/ps5/dead_by_daylight
Dead Cells,PS4,https://www.pushsquare.comgames/ps4/dead_cells
Dead Island 2,"PS4, PS5",https://www.pushsquare.comgames/ps5/dead_island_2
Dead or Alive 5: Last Round,PS4,https://www.pushsquare.comgames/ps4/dead_or_alive_5_last_round
Deadcraft,PS4,https://www.pushsquare.comgames/ps4/deadcraft
Death End Re;Quest,PS4,https://www.pushsquare.comgames/ps4/death_end_request
Death Squared,PS4,https://www.pushsquare.comgames/ps4/death_squared
Death Stranding,PS4,https://www.pushsquare.comgames/ps4/death_stranding
Death Stranding Director's Cut,PS5,https://www.pushsquare.comgames/ps5/death_stranding_directors_cut
Deceive Inc,PS5,https://www.pushsquare.comgames/ps5/deceive_inc
Deliver Us the Moon,"PS4, PS5",https://www.pushsquare.comgames/ps5/deliver_us_the_moon
Demon's Souls,PS5,https://www.pushsquare.comgames/ps5/demons_souls
Desperados III,PS4,https://www.pushsquare.comgames/ps4/desperados_iii
Destiny 2: The Witch Queen,"PS4, PS5",https://www.pushsquare.comgames/ps5/destiny_2_the_witch_queen
Destroy All Humans! 2: Reprobed,PS4,https://www.pushsquare.comgames/ps4/destroy_all_humans_2_reprobed
Destruction AllStars,PS5,https://www.pushsquare.comgames/ps5/destruction_allstars
Detroit: Become Human,PS4,https://www.pushsquare.comgames/ps4/detroit_become_human
Deus Ex: Mankind Divided,PS4,https://www.pushsquare.comgames/ps4/deus_ex_mankind_divided
Devil May Cry 5,PS4,https://www.pushsquare.comgames/ps4/devil_may_cry_5
Devil May Cry 5: Special Edition,PS5,https://www.pushsquare.comgames/ps5/devil_may_cry_5_special_edition
Digimon Survive,PS4,https://www.pushsquare.comgames/ps4/digimon_survive
Disaster Report 4: Summer Memories,PS4,https://www.pushsquare.comgames/ps4/disaster_report_4_summer_memories1
Disco Elysium: The Final Cut,"PS4, PS5",https://www.pushsquare.comgames/ps5/disco_elysium_the_final_cut
Disgaea 5: Alliance of Vengeance,PS4,https://www.pushsquare.comgames/ps4/disgaea_5_alliance_of_vengeance
Dishonored 2,PS4,https://www.pushsquare.comgames/ps4/dishonored_2
Dishonored: Death of the Outsider,PS4,https://www.pushsquare.comgames/ps4/dishonored_death_of_the_outsider
DOOM,PS4,https://www.pushsquare.comgames/ps4/doom
DOOM Eternal,"PS4, PS5",https://www.pushsquare.comgames/ps5/doom_eternal
Dragon Quest Heroes: The World Tree's Woe and the Blight Below,PS4,https://www.pushsquare.comgames/ps4/dragon_quest_heroes_the_world_trees_woe_and_the_blight_below
Dragon Star Varnir,PS4,https://www.pushsquare.comgames/ps4/dragon_star_varnir
Dreams,PS4,https://www.pushsquare.comgames/ps4/dreams
Dredge,"PS4, PS5",https://www.pushsquare.comgames/ps5/dredge
Dying Light 2,"PS4, PS5",https://www.pushsquare.comgames/ps5/dying_light_2
