Title,Link
DREDGE,https://www.trueachievements.com/game/DREDGE/achievements
Blue Prince,https://www.trueachievements.com/game/Blue-Prince/achievements
Dragon Ball Xenoverse 2,https://www.trueachievements.com/game/Dragon-Ball-Xenoverse-2/achievements
Dungeons of Hinterberg,https://www.trueachievements.com/game/Dungeons-of-Hinterberg/achievements
Flintlock: The Siege of Dawn,https://www.trueachievements.com/game/Flintlock-The-Siege-of-Dawn/achievements
Metal Slug Tactics,https://www.trueachievements.com/game/Metal-Slug-Tactics/achievements
Revenge of the Savage Planet,https://www.trueachievements.com/game/Revenge-of-the-Savage-Planet/achievements
Teenage Mutant Ninja Turtles: Mutants Unleashed,https://www.trueachievements.com/game/Teenage-Mutant-Ninja-Turtles-Mutants-Unleashed/achievements
Warhammer: Vermintide 2,https://www.trueachievements.com/game/Warhammer-Vermintide-2/achievements
DOOM: The Dark Ages,https://www.trueachievements.com/game/DOOM-The-Dark-Ages/achievements
Kulebra and the Souls of Limbo,https://www.trueachievements.com/game/Kulebra-and-the-Souls-of-Limbo/achievements
Firefighting Simulator - The Squad,https://www.trueachievements.com/game/Firefighting-Simulator-The-Squad/achievements
Police Simulator: Patrol Officers,https://www.trueachievements.com/game/Police-Simulator-Patrol-Officers/achievements
Brothers: A Tale of Two Sons,https://www.trueachievements.com/game/Brothers-A-Tale-of-Two-Sons/achievements
Chants of Sennaar,https://www.trueachievements.com/game/Chants-of-Sennaar/achievements
Dune: Spice Wars,https://www.trueachievements.com/game/Dune-Spice-Wars/achievements
Hauntii,https://www.trueachievements.com/game/Hauntii/achievements
Jurassic World Evolution 2,https://www.trueachievements.com/game/Jurassic-World-Evolution-2/achievements
"Little Kitty, Big City",https://www.trueachievements.com/game/Little-Kitty-Big-City/achievements
Planet of Lana,https://www.trueachievements.com/game/Planet-of-Lana/achievements
The Big Con,https://www.trueachievements.com/game/The-Big-Con/achievements
A Plague Tale: Requiem,https://www.trueachievements.com/game/A-Plague-Tale-Requiem/achievements
A Way Out,https://www.trueachievements.com/game/A-Way-Out/achievements
Age of Empires II: Definitive Edition,https://www.trueachievements.com/game/Age-of-Empires-II-Definitive-Edition/achievements
