Title,MetacriticScore
Aliens: Fireteam Elite,69.0
Among Us,85.0
Apex Legends,89.0
Ark: Survival Ascended,
Armello,75.0
Avatar: Frontiers of Pandora,72.0
Back 4 Blood,77.0
Battlefield 2042,68.0
Borderlands 3,81.0
Call of Duty: Black Ops Cold War,76.0
Call of Duty: Modern Warfare II,75.0
Call of Duty: Vanguard,73.0
Call of Duty: Warzone,79.0
Chivalry 2,82.0
Crash Drive 3,68.0
Dead by Daylight,64.0
DEATHLOOP,88.0
Deceive Inc.,75.0
Destiny 2,85.0
Diablo 4,
DIRT 5,79.0
DKO: Divine Knockout,
Elemental War 2,
Embr,72.0
Enlisted,
Evil Dead: The Game,72.0
Exoprimal,67.0
F1 22,79.0
Fall Guys: Ultimate Knockout,81.0
Farming Simulator 22,75.0
FIFA 22,78.0
FIFA 23,76.0
For Honor,78.0
Fortnite,78.0
Ghostbusters: Spirits Unleashed,68.0
Gloomhaven,82.0
GRID Legends,76.0
Heavy Metal Machines,
Hood: Outlaws & Legends,63.0
Hyper Scape,68.0
Just Dance 2021,70.0
Knockout City,80.0
Madden NFL 24,65.0
Matchpoint: Tennis Championships,58.0
MLB The Show 21,78.0
MLB The Show 23,82.0
Mortal Kombat 11,82.0
MultiVersus,75.0
Need for Speed: Unbound,77.0
Nerf Legends,
NHL 23,71.0
No Man’s Sky,71.0
Operation: Tango,71.0
Outriders,73.0
Overcooked! All You Can Eat,84.0
Overwatch,91.0
Overwatch 2,79.0
Payday 3,66.0
PGA Tour 2K23,76.0
PlayerUnknown’s Battlegrounds,86.0
Project Winter,75.0
Quake,94.0
Remnant II,80.0
Riders Republic,77.0
Rogue Company,75.0
Roller Champions,69.0
Rubber Bandits,
Rust: Console Edition,69.0
Skull and Bones,59.0
Skyclimbers,
Sniper Elite 5,77.0
Spelunky 2,87.0
Splitgate,71.0
Street Fighter 6,92.0
Suicide Squad: Kill the Justice League,60.0
Super Animal Royale,73.0
Tekken 8,90.0
The Crew: Motorfest,76.0
The Finals,80.0
The First Descendant,57.0
The Outlast Trials,75.0
Tiny Tina’s Wonderlands,78.0
Tom Clancy’s Ghost Recon: Frontline,
Tom Clancy’s XDefiant,67.0
Tom Clancy’s Rainbow Six Extraction,73.0
Unrailed!,77.0
Warframe,64.0
Warlander,64.0
We Were Here Forever,76.0
Wild Hearts,79.0
World War Z,67.0
Worms Rumble,70.0
Yu-Gi-Oh! Master Duel,80.0
All Elite Wrestling (AEW): Fight Forever,
Aragami 2,64.0
Arcadegeddon,73.0
Call of Duty: Black Ops III,81.0
Dauntless,78.0
Deep Rock Galactic,85.0
Dungeons & Dragons: Dark Alliance,53.0
Dying Light 2: Stay Human,76.0
Elden Ring,96.0
Far Cry 6,73.0
FINAL FANTASY XIV Online,49.0
Gotham Knights,67.0
Guilty Gear: Strive,
Gunfire Reborn,75.0
Hellpoint,64.0
Hogwarts Legacy,84.0
Human: Fall Flat,70.0
Insurgency: Sandstorm,78.0
It Takes Two,88.0
Madden NFL 22,68.0
Madden NFL 23,69.0
MechWarrior 5: Mercenaries,73.0
Monster Hunter Rise,88.0
Overcooked! 2,81.0
PAYDAY 2,79.0
PowerWash Simulator,75.0
Rainbow Six Siege,
Remnant: From the Ashes,78.0
Rocket League,85.0
SD Gundam Battle Alliance,74.0
SnowRunner,81.0
Spacelords,
Spellbreak,79.0
The Ascent,74.0
The Elder Scrolls Online,71.0
Tribes of Midgard,73.0
Vigor,61.0
War Thunder,76.0
Watch Dogs: Legion,76.0
Windjammers 2,78.0
Wo Long: Fallen Dynasty,80.0
